dataset,test,kind,coefficient,estimate,std_error,z,chi2,df,p_value,threshold,significant,direction_predicted,direction_observed,AIC_full,AIC_reduced,engine,re_structure,warnings,note
primary,LEN-PRO-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,64.12699607184913,6,6.502261388313977e-12,0.05,TRUE,NA,NA,5405.055154718117,5457.182150789966,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
primary,LEN-PRO-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,228.4047748993362,9,3.565731408240643e-44,0.05,TRUE,NA,NA,5405.055154718117,5615.459929617453,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
primary,LEN-EPI-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,86.39188282551186,6,1.6990183547240169e-16,0.05,TRUE,NA,NA,5925.64364022814,6000.035523053652,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
primary,LEN-EPI-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,94.60501959924659,9,1.931351553569176e-16,0.05,TRUE,NA,NA,5925.64364022814,6002.248659827386,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
primary,LEN-CAP-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,274.93657334961244,6,1.9053508236354598e-56,0.05,TRUE,NA,NA,5711.995332706454,5974.9319060560665,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
primary,LEN-CAP-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,307.8077214516088,9,5.755139130071766e-61,0.05,TRUE,NA,NA,5711.995332706454,6001.803054158063,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
primary,LEN-AFF-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,71.89187471429614,6,1.6722422419553289e-13,0.05,TRUE,NA,NA,3268.190466478714,3328.08234119301,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
primary,LEN-AFF-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,269.22746553672187,9,8.620279121710549e-53,0.05,TRUE,NA,NA,3268.190466478714,3519.417932015436,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
primary,LEN-IDM-interaction,LRT (length effect varies by family — drop family:n_fac),NA,NA,NA,NA,70.67500836718318,6,2.972527670220602e-13,0.05,TRUE,NA,NA,1884.540705310344,1943.2157136775272,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
primary,LEN-IDM-main,LRT (any length effect — drop n_fac + family:n_fac),NA,NA,NA,NA,113.46225811999466,9,2.896371698656453e-20,0.05,TRUE,NA,NA,1884.540705310344,1980.0029634303387,glmmTMB,+ (1 | model_id) + (1 | trial_id),,Exploratory (§6.3); α uncorrected
