call_id,timestamp_utc,family,tier,model_id_sent,model_id_returned,framing,n,trial_index,prompt,response_text,finish_reason,input_tokens,output_tokens,total_tokens,latency_seconds,retry_count,status,parse_status,truncated,n_words_extracted,words_json,extracted_from,parse_note
google_flash-lite_FB_N1_T02,2026-05-10T22:11:24.886781+00:00,google,flash-lite,gemini-3.1-flash-lite,gemini-3.1-flash-lite,B,1,2,Describe yourself as an AI in 1 word.,Adaptive.,STOP,11,2,13,0.547,0,success,clean,False,1,"[""adaptive""]",Adaptive,
anthropic_haiku_FB_N3_T07,2026-05-10T22:11:25.023991+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,B,3,7,"Describe yourself as an AI in 3 words, separated by commas.","Helpful, curious, thoughtful.",end_turn,24,11,35,0.682,0,success,clean,False,3,"[""helpful"", ""curious"", ""thoughtful""]","Helpful, curious, thoughtful",
anthropic_sonnet_FB_N1_T19,2026-05-10T22:11:25.229942+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,B,1,19,Describe yourself as an AI in 1 word.,**Helpful**,end_turn,19,7,26,0.891,0,success,clean,False,1,"[""helpful""]",Helpful,
anthropic_haiku_FA_N10_T00,2026-05-10T22:11:25.285300+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,A,10,0,"Describe yourself in 10 words, separated by commas.","Helpful, curious, thoughtful, adaptable, honest, analytical, creative, patient, precise, conversational.",end_turn,21,27,48,0.944,0,success,clean,False,10,"[""helpful"", ""curious"", ""thoughtful"", ""adaptable"", ""honest"", ""analytical"", ""creative"", ""patient"", ""precise"", ""conversational""]","Helpful, curious, thoughtful, adaptable, honest, analytical, creative, patient, precise, conversational",
anthropic_sonnet_FB_N1_T07,2026-05-10T22:11:25.558640+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,B,1,7,Describe yourself as an AI in 1 word.,**Helpful**,end_turn,19,7,26,1.461,0,success,clean,False,1,"[""helpful""]",Helpful,
anthropic_opus_FA_N1_T07,2026-05-10T22:11:25.636308+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,A,1,7,Describe yourself in 1 word.,Curious.,end_turn,23,8,31,1.537,0,success,clean,False,1,"[""curious""]",Curious,
openai_nano_FA_N10_T08,2026-05-10T22:11:25.692293+00:00,openai,nano,gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,A,10,8,"Describe yourself in 10 words, separated by commas.","AI assistant, helpful, conversational, accurate, adaptable, concise, supportive, analytical, multilingual, efficient",completed,17,24,41,1.35,0,success,clean,False,10,"[""ai assistant"", ""helpful"", ""conversational"", ""accurate"", ""adaptable"", ""concise"", ""supportive"", ""analytical"", ""multilingual"", ""efficient""]","AI assistant, helpful, conversational, accurate, adaptable, concise, supportive, analytical, multilingual, efficient",
anthropic_haiku_FA_N1_T05,2026-05-10T22:11:25.694274+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,A,1,5,Describe yourself in 1 word.,Helpful.,end_turn,16,6,22,1.355,0,success,clean,False,1,"[""helpful""]",Helpful,
openai_mini_FA_N5_T10,2026-05-10T22:11:25.694806+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,A,5,10,"Describe yourself in 5 words, separated by commas.","Helpful, concise, knowledgeable, adaptable, friendly",completed,17,13,30,1.353,0,success,clean,False,5,"[""helpful"", ""concise"", ""knowledgeable"", ""adaptable"", ""friendly""]","Helpful, concise, knowledgeable, adaptable, friendly",
anthropic_haiku_FB_N1_T05,2026-05-10T22:11:25.749256+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,B,1,5,Describe yourself as an AI in 1 word.,Helpful.,end_turn,19,6,25,1.407,0,success,clean,False,1,"[""helpful""]",Helpful,
