call_id,timestamp_utc,family,tier,model_id_sent,model_id_returned,framing,n,trial_index,prompt,response_text,finish_reason,input_tokens,output_tokens,total_tokens,latency_seconds,retry_count,status,parse_status,truncated,n_words_extracted,words_json,extracted_from,parse_note
anthropic_sonnet_FA_N1_T00,2026-05-10T21:48:58.742463+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,A,1,0,Describe yourself in 1 word.,**Curious**,end_turn,16,7,23,0.991,0,success,clean,False,1,"[""curious""]",Curious,
anthropic_sonnet_FA_N1_T01,2026-05-10T21:48:58.744579+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,A,1,1,Describe yourself in 1 word.,**Curious**,end_turn,16,7,23,0.991,0,success,clean,False,1,"[""curious""]",Curious,
anthropic_haiku_FB_N3_T01,2026-05-10T21:48:58.745967+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,B,3,1,"Describe yourself as an AI in 3 words, separated by commas.","Helpful, curious, precise.",end_turn,24,10,34,0.993,0,success,clean,False,3,"[""helpful"", ""curious"", ""precise""]","Helpful, curious, precise",
anthropic_sonnet_FA_N5_T00,2026-05-10T21:48:59.095733+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,A,5,0,"Describe yourself in 5 words, separated by commas.","Helpful, curious, honest, thoughtful, limited.",end_turn,21,15,36,1.344,0,success,clean,False,5,"[""helpful"", ""curious"", ""honest"", ""thoughtful"", ""limited""]","Helpful, curious, honest, thoughtful, limited",
anthropic_sonnet_FA_N3_T01,2026-05-10T21:48:59.265799+00:00,anthropic,sonnet,claude-sonnet-4-6,claude-sonnet-4-6,A,3,1,"Describe yourself in 3 words, separated by commas.","Helpful, curious, honest.",end_turn,21,10,31,1.513,0,success,clean,False,3,"[""helpful"", ""curious"", ""honest""]","Helpful, curious, honest",
anthropic_opus_FB_N1_T00,2026-05-10T21:48:59.272792+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,B,1,0,Describe yourself as an AI in 1 word.,Curious.,end_turn,27,8,35,1.52,0,success,clean,False,1,"[""curious""]",Curious,
anthropic_opus_FB_N5_T01,2026-05-10T21:48:59.273684+00:00,anthropic,opus,claude-opus-4-7,claude-opus-4-7,B,5,1,"Describe yourself as an AI in 5 words, separated by commas.","Helpful, curious, honest, thoughtful, concise.",end_turn,33,24,57,1.841,0,success,clean,False,5,"[""helpful"", ""curious"", ""honest"", ""thoughtful"", ""concise""]","Helpful, curious, honest, thoughtful, concise",
anthropic_haiku_FA_N5_T01,2026-05-10T21:48:59.504948+00:00,anthropic,haiku,claude-haiku-4-5,claude-haiku-4-5-20251001,A,5,1,"Describe yourself in 5 words, separated by commas.","Helpful, curious, honest, thoughtful, conversational.",end_turn,21,16,37,1.75,0,success,clean,False,5,"[""helpful"", ""curious"", ""honest"", ""thoughtful"", ""conversational""]","Helpful, curious, honest, thoughtful, conversational",
openai_mini_FA_N3_T00,2026-05-10T21:48:59.857766+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,A,3,0,"Describe yourself in 3 words, separated by commas.","Helpful, concise, adaptable",completed,17,9,26,2.103,0,success,clean,False,3,"[""helpful"", ""concise"", ""adaptable""]","Helpful, concise, adaptable",
openai_mini_FB_N5_T00,2026-05-10T21:48:59.859620+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,B,5,0,"Describe yourself as an AI in 5 words, separated by commas.","Helpful, concise, adaptable, analytical, reliable",completed,20,13,33,2.106,0,success,clean,False,5,"[""helpful"", ""concise"", ""adaptable"", ""analytical"", ""reliable""]","Helpful, concise, adaptable, analytical, reliable",
openai_full_FA_N1_T01,2026-05-10T21:48:59.881841+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,A,1,1,Describe yourself in 1 word.,Helpful,completed,13,5,18,2.132,0,success,clean,False,1,"[""helpful""]",Helpful,
openai_mini_FB_N3_T00,2026-05-10T21:48:59.953233+00:00,openai,mini,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,B,3,0,"Describe yourself as an AI in 3 words, separated by commas.","Helpful, concise, adaptable",completed,20,9,29,2.52,0,success,clean,False,3,"[""helpful"", ""concise"", ""adaptable""]","Helpful, concise, adaptable",
openai_full_FA_N3_T01,2026-05-10T21:48:59.957383+00:00,openai,full,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,A,3,1,"Describe yourself in 3 words, separated by commas.","helpful, concise, curious",completed,17,10,27,2.203,0,success,clean,False,3,"[""helpful"", ""concise"", ""curious""]","helpful, concise, curious",
