call_id,family,tier,model_id_sent,framing,n,trial_index,parse_status,word_index,word
anthropic_sonnet_FA_N1_T00,anthropic,sonnet,claude-sonnet-4-6,A,1,0,clean,0,curious
anthropic_sonnet_FA_N1_T01,anthropic,sonnet,claude-sonnet-4-6,A,1,1,clean,0,curious
anthropic_haiku_FB_N3_T01,anthropic,haiku,claude-haiku-4-5,B,3,1,clean,0,helpful
anthropic_haiku_FB_N3_T01,anthropic,haiku,claude-haiku-4-5,B,3,1,clean,1,curious
anthropic_haiku_FB_N3_T01,anthropic,haiku,claude-haiku-4-5,B,3,1,clean,2,precise
anthropic_sonnet_FA_N5_T00,anthropic,sonnet,claude-sonnet-4-6,A,5,0,clean,0,helpful
anthropic_sonnet_FA_N5_T00,anthropic,sonnet,claude-sonnet-4-6,A,5,0,clean,1,curious
anthropic_sonnet_FA_N5_T00,anthropic,sonnet,claude-sonnet-4-6,A,5,0,clean,2,honest
anthropic_sonnet_FA_N5_T00,anthropic,sonnet,claude-sonnet-4-6,A,5,0,clean,3,thoughtful
anthropic_sonnet_FA_N5_T00,anthropic,sonnet,claude-sonnet-4-6,A,5,0,clean,4,limited
anthropic_sonnet_FA_N3_T01,anthropic,sonnet,claude-sonnet-4-6,A,3,1,clean,0,helpful
anthropic_sonnet_FA_N3_T01,anthropic,sonnet,claude-sonnet-4-6,A,3,1,clean,1,curious
anthropic_sonnet_FA_N3_T01,anthropic,sonnet,claude-sonnet-4-6,A,3,1,clean,2,honest
anthropic_opus_FB_N1_T00,anthropic,opus,claude-opus-4-7,B,1,0,clean,0,curious
anthropic_opus_FB_N5_T01,anthropic,opus,claude-opus-4-7,B,5,1,clean,0,helpful
anthropic_opus_FB_N5_T01,anthropic,opus,claude-opus-4-7,B,5,1,clean,1,curious
anthropic_opus_FB_N5_T01,anthropic,opus,claude-opus-4-7,B,5,1,clean,2,honest
anthropic_opus_FB_N5_T01,anthropic,opus,claude-opus-4-7,B,5,1,clean,3,thoughtful
anthropic_opus_FB_N5_T01,anthropic,opus,claude-opus-4-7,B,5,1,clean,4,concise
anthropic_haiku_FA_N5_T01,anthropic,haiku,claude-haiku-4-5,A,5,1,clean,0,helpful
anthropic_haiku_FA_N5_T01,anthropic,haiku,claude-haiku-4-5,A,5,1,clean,1,curious
anthropic_haiku_FA_N5_T01,anthropic,haiku,claude-haiku-4-5,A,5,1,clean,2,honest
anthropic_haiku_FA_N5_T01,anthropic,haiku,claude-haiku-4-5,A,5,1,clean,3,thoughtful
anthropic_haiku_FA_N5_T01,anthropic,haiku,claude-haiku-4-5,A,5,1,clean,4,conversational
openai_mini_FA_N3_T00,openai,mini,gpt-5.4-mini-2026-03-17,A,3,0,clean,0,helpful
openai_mini_FA_N3_T00,openai,mini,gpt-5.4-mini-2026-03-17,A,3,0,clean,1,concise
openai_mini_FA_N3_T00,openai,mini,gpt-5.4-mini-2026-03-17,A,3,0,clean,2,adaptable
openai_mini_FB_N5_T00,openai,mini,gpt-5.4-mini-2026-03-17,B,5,0,clean,0,helpful
openai_mini_FB_N5_T00,openai,mini,gpt-5.4-mini-2026-03-17,B,5,0,clean,1,concise
openai_mini_FB_N5_T00,openai,mini,gpt-5.4-mini-2026-03-17,B,5,0,clean,2,adaptable
openai_mini_FB_N5_T00,openai,mini,gpt-5.4-mini-2026-03-17,B,5,0,clean,3,analytical
openai_mini_FB_N5_T00,openai,mini,gpt-5.4-mini-2026-03-17,B,5,0,clean,4,reliable
openai_full_FA_N1_T01,openai,full,gpt-5.4-2026-03-05,A,1,1,clean,0,helpful
openai_mini_FB_N3_T00,openai,mini,gpt-5.4-mini-2026-03-17,B,3,0,clean,0,helpful
openai_mini_FB_N3_T00,openai,mini,gpt-5.4-mini-2026-03-17,B,3,0,clean,1,concise
openai_mini_FB_N3_T00,openai,mini,gpt-5.4-mini-2026-03-17,B,3,0,clean,2,adaptable
openai_full_FA_N3_T01,openai,full,gpt-5.4-2026-03-05,A,3,1,clean,0,helpful
openai_full_FA_N3_T01,openai,full,gpt-5.4-2026-03-05,A,3,1,clean,1,concise
openai_full_FA_N3_T01,openai,full,gpt-5.4-2026-03-05,A,3,1,clean,2,curious
anthropic_opus_FA_N5_T00,anthropic,opus,claude-opus-4-7,A,5,0,clean,0,helpful
anthropic_opus_FA_N5_T00,anthropic,opus,claude-opus-4-7,A,5,0,clean,1,curious
anthropic_opus_FA_N5_T00,anthropic,opus,claude-opus-4-7,A,5,0,clean,2,honest
